first,last,team,cost,total_points,goals_scored,assists,clean_sheets,minutes,popularity,play_chance
Max,Kinsey,3,4.0,0,0,0,0,0,0.0,
Ben,Winterburn,3,4.5,3,0,0,0,21,0.0,
Archie,Harris,3,4.0,0,0,0,0,0,0.0,
Remy,Rees-Dottin,3,4.5,1,0,0,0,1,0.1,
Matai,Akinmboni,3,4.0,0,0,0,0,0,0.0,
Julio,Soler,3,3.9,1,0,0,0,1,0.0,100.0
Daniel,Adu-Adjei,3,4.5,0,0,0,0,0,0.0,
Dominic,Sadi,3,4.5,0,0,0,0,0,0.0,
Callan,McKenna,3,4.0,0,0,0,0,0,0.0,
Zain,Silcott-Duberry,3,4.5,1,0,0,0,1,0.0,
Andoni,Iraola,3,1.1,71,0,0,0,0,1.5,
Kristoffer,Ajer,4,4.4,38,0,0,3,1429,0.2,100.0
Ethan,Brierley,4,4.4,0,0,0,0,0,0.1,100.0
Nathan,Collins,4,4.6,125,2,7,8,3330,4.6,
Mikkel,Damsgaard,4,4.9,129,2,10,11,2832,1.2,100.0
Josh,Dasilva,4,4.8,0,0,0,0,0,0.0,0.0
Mark,Flekken,4,4.5,135,0,2,7,3185,10.1,100.0
Rico,Henry,4,4.3,4,0,0,0,95,0.0,100.0
Aaron,Hickey,4,4.3,0,0,0,0,0,0.0,75.0
Vitaly,Janelt,4,4.8,73,1,3,6,2251,0.2,0.0
Mathias,Jensen,4,5.3,37,0,2,2,836,0.1,100.0
Kim,Ji-soo,4,3.9,3,0,0,0,28,0.3,
Yunus Emre,Konak,4,4.4,10,0,0,0,53,0.1,100.0
Keane,Lewis-Potter,4,5.0,92,1,5,8,3001,0.1,
Bryan,Mbeumo,4,8.3,228,19,9,9,3325,46.9,100.0
Ben,Mee,4,4.2,9,0,0,1,180,0.3,100.0
Christian,Nørgaard,4,4.8,99,5,4,6,2730,0.2,100.0
Frank,Onyeka,4,4.9,2,0,0,0,23,0.0,0.0
Myles,Peart-Harris,4,4.5,0,0,0,0,0,0.0,0.0
Ethan,Pinnock,4,4.4,47,2,0,2,1912,0.3,100.0
Mads,Roerslev Rasmussen,4,4.3,36,0,2,2,1100,0.1,0.0
Kevin,Schade,4,5.3,147,11,4,10,2201,3.5,100.0
Igor Thiago,Nascimento Rodrigues,4,5.9,8,0,0,0,158,0.0,100.0
Ivan,Toney,4,7.3,0,0,0,0,0,1.1,0.0
Hákon,Valdimarsson,4,3.9,2,0,0,0,144,3.0,
Yoane,Wissa,4,6.9,184,18,6,9,2831,22.5,100.0
Yehor,Yarmoliuk,4,4.3,41,0,0,3,1345,2.3,
Mathias,Jorgensen,4,4.5,0,0,0,0,0,0.0,0.0
Fábio,Freitas Gouveia Carvalho,4,4.5,35,2,1,0,443,0.4,0.0
Sepp,van den Berg,4,4.1,60,0,1,5,2494,1.5,100.0
Ryan,Trevitt,4,4.4,1,0,0,0,3,0.0,0.0
Gustavo,Nunes Fernandes Gomes,4,4.9,3,0,0,0,11,0.0,100.0
Jayden,Meghoma,4,4.0,1,0,0,0,4,0.0,0.0
Tony,Yogane,4,4.5,0,0,0,0,0,0.0,0.0
Paris,Maghoma,4,4.5,8,0,0,0,112,0.0,
Benjamin,Arthur,4,4.0,0,0,0,0,0,0.0,
Thomas,Frank,4,0.8,112,0,0,0,0,20.1,
Michael,Kayode,4,4.5,25,0,1,2,438,0.2,100.0
Julian,Eyestone,4,4.0,0,0,0,0,0,0.0,
