first,last,team,cost,total_points,goals_scored,assists,clean_sheets,minutes,popularity,play_chance,full_name,goals_per_90,assists_per_90,points_per_million,is_playing_next
Donyell,Malen,2,5.3,33,3,0,0,290,0.2,,Donyell Malen,0.9310341938169743,0.0,6.226413919544544,True
Andrés,García,2,4.5,8,0,0,0,316,0.1,,Andrés García,0.0,0.0,1.7777773827161372,True
Unai,Emery,2,0.8,105,0,0,0,0,7.5,,Unai Emery,0.0,0.0,131.24983593770506,True
Marco,Asensio,2,6.1,43,3,2,3,695,2.7,,Marco Asensio,0.38848915832514497,0.2589927722167633,7.04917917226571,True
Max,Aarons,3,4.3,8,0,0,1,84,0.1,0.0,Max Aarons,0.0,0.0,1.8604646836128642,False
Tyler,Adams,3,4.9,53,0,3,5,1779,0.1,100.0,Tyler Adams,0.0,0.15177064999473946,10.816324323199117,True
Jaidon,Anthony,3,4.5,0,0,0,0,0,0.1,0.0,Jaidon Anthony,0.0,0.0,0.0,False
David,Brooks,3,4.9,48,2,1,2,834,0.0,100.0,David Brooks,0.21582731483877898,0.10791365741938949,9.795916368180333,True
Ryan,Christie,3,4.8,76,2,3,8,2114,0.1,0.0,Ryan Christie,0.08514663781305705,0.12771995671958558,15.83333003472291,False
Lewis,Cook,3,5.0,83,1,4,5,2904,0.1,100.0,Lewis Cook,0.030991734576702443,0.12396693830680977,16.599996680000665,True
Enes,Ünal,3,5.4,32,2,1,2,330,0.1,0.0,Enes Ünal,0.5454543966942554,0.2727271983471277,5.925924828532438,False
Romain,Faivre,3,5.0,0,0,0,0,0,0.0,0.0,Romain Faivre,0.0,0.0,0.0,False
Hamed,Traorè,3,4.5,0,0,0,0,0,0.0,0.0,Hamed Traorè,0.0,0.0,0.0,False
James,Hill,3,3.9,17,0,1,1,443,0.5,100.0,James Hill,0.0,0.2031602296062739,4.358973241288912,True
Daniel,Jebbison,3,4.5,13,0,0,0,71,1.0,100.0,Daniel Jebbison,0.0,0.0,2.888888246913723,True
Milos,Kerkez,3,5.2,127,2,6,8,3164,17.3,100.0,Milos Kerkez,0.05689001102398831,0.17067003307196493,24.423072226332263,True
Justin,Kluivert,3,5.9,154,12,6,12,2204,10.5,100.0,Justin Kluivert,0.490018128810512,0.245009064405256,26.101690491238898,True
Chris,Mepham,3,4.4,0,0,0,0,0,0.0,0.0,Chris Mepham,0.0,0.0,0.0,False
Dango,Ouattara,3,4.6,111,7,4,7,1998,1.0,0.0,Dango Ouattara,0.31531530111192335,0.1801801720639562,24.130429536863144,False
Alex,Paulsen,3,4.0,0,0,0,0,0,0.0,0.0,Alex Paulsen,0.0,0.0,0.0,False
Philip,Billing,3,4.8,10,0,0,0,176,0.0,0.0,Philip Billing,0.0,0.0,2.083332899305646,False
Alex,Scott,3,4.7,25,0,0,3,744,0.0,0.0,Alex Scott,0.0,0.0,5.319147804436637,False
Antoine,Semenyo,3,5.7,147,9,7,10,3022,7.1,100.0,Antoine Semenyo,0.2680344063126749,0.20847120490985827,25.78946915974225,True
Marcos,Senesi,3,4.6,25,0,0,1,1026,0.3,100.0,Marcos Senesi,0.0,0.0,5.434781427221429,True
Luis,Sinisterra,3,4.8,23,1,1,0,229,0.1,0.0,Luis Sinisterra,0.3930129459774448,0.3930129459774448,4.7916656684029855,False
Adam,Smith,3,4.4,50,0,0,5,1475,0.1,100.0,Adam Smith,0.0,0.0,11.363633780992322,True
Marcus,Tavernier,3,5.4,82,3,7,3,1752,0.2,100.0,Marcus Tavernier,0.15410958112450782,0.35958902262385156,15.185182373114374,True
Mark,Travers,3,4.4,19,0,0,1,450,0.1,0.0,Mark Travers,0.0,0.0,4.318180836777082,False
Illia,Zabarnyi,3,4.4,82,0,0,7,2929,0.4,100.0,Illia Zabarnyi,0.0,0.0,18.636359400827406,True
Kepa,Arrizabalaga,3,4.6,99,0,0,7,2610,3.2,100.0,Kepa Arrizabalaga,0.0,0.0,21.52173445179686,True
Dean,Huijsen,3,4.5,100,3,1,7,2320,4.5,,Dean Huijsen,0.11637930583011313,0.038793101943371044,22.222217283951714,True
Julián,Araujo Zúñiga,3,4.3,12,0,0,0,424,0.1,100.0,Julián Araujo Zúñiga,0.0,0.0,2.7906970254192967,True
Will,Dennis,3,3.9,0,0,0,0,0,0.3,,Will Dennis,0.0,0.0,0.0,True
Francisco Evanilson,de Lima Barbosa,3,5.8,124,10,5,10,2145,3.6,100.0,Francisco Evanilson de Lima Barbosa,0.4195804019756475,0.20979020098782375,21.37930665874023,True
